order_id,shipping_mode,courier_partner,warehouse_city,delivery_city,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area,delivery_attempts,courier_delay_rate,warehouse_processing_time
O1,Same-Day,Ecom Express,Chennai,Mumbai,1,2,1,904,1,3,0.15,1.54
O2,Express,Delhivery,Mumbai,Jaipur,3,3,0,665,0,1,0.29,2.67
O3,Standard,BlueDart,Chennai,Jaipur,4,4,0,968,1,1,0.3,1.87
O4,Express,Delhivery,Kolkata,Chennai,2,2,0,1377,1,2,0.22,1.58
O5,Express,BlueDart,Bangalore,Delhi,2,2,0,242,0,3,0.27,1.92
O6,Express,Delhivery,Chennai,Mumbai,3,3,0,910,1,3,0.08,1.58
O7,Same-Day,Ecom Express,Bangalore,Bangalore,0,3,3,1458,1,3,0.15,1.45
O8,Same-Day,BlueDart,Lucknow,Kolkata,1,2,1,1047,1,2,0.11,2.1
O9,Standard,BlueDart,Kolkata,Jaipur,3,3,0,570,0,3,0.12,1.01
O10,Express,Ecom Express,Jaipur,Jaipur,3,4,1,996,1,2,0.28,2.74
O11,Express,BlueDart,Jaipur,Jaipur,3,3,0,973,1,3,0.25,2.3
O12,Same-Day,Delhivery,Lucknow,Hyderabad,1,3,2,1786,1,1,0.23,1.82
O13,Same-Day,BlueDart,Jaipur,Lucknow,1,1,0,1335,1,2,0.21,2.77
O14,Standard,BlueDart,Mumbai,Lucknow,5,7,2,470,0,3,0.23,1.2
O15,Express,BlueDart,Delhi,Jaipur,1,1,0,605,0,1,0.18,2.13
O16,Same-Day,Delhivery,Hyderabad,Hyderabad,0,2,2,1024,1,2,0.21,1.92
O17,Same-Day,BlueDart,Chennai,Mumbai,0,2,2,156,0,3,0.29,2.38
O18,Standard,Ecom Express,Chennai,Lucknow,4,6,2,786,0,3,0.12,2.96
O19,Same-Day,BlueDart,Chennai,Lucknow,0,1,1,1869,1,1,0.2,1.7
O20,Same-Day,Ecom Express,Bangalore,Kolkata,0,1,1,1291,1,2,0.25,1.07
O21,Express,Delhivery,Kolkata,Kolkata,3,3,0,855,1,3,0.18,1.55
O22,Express,Delhivery,Hyderabad,Lucknow,1,1,0,964,1,3,0.23,2.96
O23,Express,Ecom Express,Chennai,Hyderabad,3,5,2,258,0,3,0.15,2.28
O24,Standard,Ecom Express,Mumbai,Hyderabad,5,6,1,1879,1,3,0.26,2.82
O25,Standard,Delhivery,Mumbai,Jaipur,3,4,1,628,0,1,0.27,1.27
O26,Same-Day,Delhivery,Lucknow,Delhi,0,0,0,1818,1,3,0.15,2.9
O27,Express,Ecom Express,Kolkata,Mumbai,1,3,2,1756,1,3,0.28,2.29
