order_id,customer_id,product_id,order_date,order_day_of_week,order_hour,quantity,product_price,discount_amount,discount_percentage,final_price,payment_method,is_cod
O1,C58,P2,2026-01-19,Monday,2,1,1799,179.9,10,1619.1,UPI,0
O2,C75,P5,2026-03-05,Thursday,14,1,3499,1399.6000000000001,40,2099.3999999999996,COD,1
O3,C75,P2,2026-03-15,Sunday,18,1,1799,359.8,20,1439.2,Card,0
O4,C35,P5,2026-03-04,Wednesday,2,2,3499,699.8000000000001,20,2799.2,UPI,0
O5,C20,P2,2026-03-12,Thursday,1,2,1799,0.0,0,1799.0,UPI,0
O6,C73,P4,2026-01-07,Wednesday,6,3,24990,4998.0,20,19992.0,Card,0
O7,C51,P5,2026-03-31,Tuesday,15,1,3499,0.0,0,3499.0,Card,0
O8,C87,P1,2026-03-01,Sunday,3,3,11999,1199.9,10,10799.1,UPI,0
O9,C23,P6,2026-02-19,Thursday,6,3,3199,1279.6000000000001,40,1919.3999999999999,Card,0
O10,C46,P4,2026-02-08,Sunday,18,3,24990,7497.0,30,17493.0,COD,1
O11,C83,P6,2026-03-15,Sunday,12,1,3199,959.6999999999999,30,2239.3,COD,1
O12,C39,P6,2026-01-20,Tuesday,15,1,3199,319.90000000000003,10,2879.1,Card,0
O13,C52,P6,2026-01-10,Saturday,15,2,3199,639.8000000000001,20,2559.2,Card,0
O14,C11,P5,2026-03-04,Wednesday,17,1,3499,1399.6000000000001,40,2099.3999999999996,COD,1
O15,C81,P2,2026-01-22,Thursday,22,2,1799,0.0,0,1799.0,COD,1
O16,C56,P6,2026-01-22,Thursday,5,1,3199,1279.6000000000001,40,1919.3999999999999,UPI,0
O17,C4,P1,2026-03-27,Friday,0,2,11999,2399.8,20,9599.2,Card,0
O18,C11,P6,2026-02-28,Saturday,9,1,3199,959.6999999999999,30,2239.3,UPI,0
O19,C25,P5,2026-03-26,Thursday,12,2,3499,0.0,0,3499.0,Card,0
O20,C71,P6,2026-03-23,Monday,6,3,3199,639.8000000000001,20,2559.2,Card,0
O21,C86,P4,2026-02-16,Monday,23,1,24990,0.0,0,24990.0,UPI,0
O22,C59,P1,2026-01-22,Thursday,8,2,11999,2399.8,20,9599.2,Card,0
O23,C28,P5,2026-03-13,Friday,11,1,3499,1049.7,30,2449.3,COD,1
O24,C54,P2,2026-02-17,Tuesday,3,3,1799,179.9,10,1619.1,UPI,0
O25,C98,P3,2026-02-08,Sunday,20,2,39999,0.0,0,39999.0,COD,1
O26,C2,P3,2026-02-28,Saturday,11,3,39999,15999.6,40,23999.4,UPI,0
O27,C48,P6,2026-01-05,Monday,22,2,3199,319.90000000000003,10,2879.1,UPI,0
O28,C13,P6,2026-01-08,Thursday,12,2,3199,319.90000000000003,10,2879.1,COD,1
O29,C89,P2,2026-01-17,Saturday,18,1,1799,0.0,0,1799.0,Card,0
O30,C70,P1,2026-01-19,Monday,4,3,11999,2399.8,20,9599.2,COD,1
O31,C95,P6,2026-03-09,Monday,3,3,3199,0.0,0,3199.0,UPI,0
O32,C71,P4,2026-03-26,Thursday,16,2,24990,7497.0,30,17493.0,Card,0
O33,C26,P5,2026-01-11,Sunday,10,3,3499,349.90000000000003,10,3149.1,COD,1
O34,C44,P3,2026-02-28,Saturday,16,3,39999,11999.699999999999,30,27999.300000000003,COD,1
O35,C69,P6,2026-02-13,Friday,14,2,3199,959.6999999999999,30,2239.3,Card,0
O36,C62,P5,2026-01-12,Monday,2,1,3499,1049.7,30,2449.3,COD,1
O37,C46,P2,2026-01-07,Wednesday,9,3,1799,359.8,20,1439.2,UPI,0
O38,C50,P2,2026-02-05,Thursday,18,1,1799,539.6999999999999,30,1259.3000000000002,Card,0
O39,C45,P4,2026-02-09,Monday,10,2,24990,0.0,0,24990.0,COD,1
O40,C21,P4,2026-02-23,Monday,14,2,24990,2499.0,10,22491.0,UPI,0
O41,C64,P2,2026-01-07,Wednesday,21,1,1799,359.8,20,1439.2,UPI,0
O42,C70,P6,2026-02-25,Wednesday,3,2,3199,1279.6000000000001,40,1919.3999999999999,UPI,0
O43,C43,P1,2026-01-18,Sunday,8,2,11999,2399.8,20,9599.2,COD,1
O44,C36,P1,2026-03-27,Friday,11,1,11999,3599.7,30,8399.3,Card,0
O45,C50,P1,2026-03-23,Monday,13,2,11999,0.0,0,11999.0,UPI,0
O46,C99,P6,2026-01-14,Wednesday,7,2,3199,1279.6000000000001,40,1919.3999999999999,UPI,0
O47,C98,P1,2026-03-07,Saturday,20,1,11999,4799.6,40,7199.4,Card,0
O48,C1,P2,2026-01-23,Friday,19,1,1799,0.0,0,1799.0,COD,1
O49,C93,P2,2026-03-23,Monday,19,2,1799,359.8,20,1439.2,COD,1
O50,C7,P5,2026-02-09,Monday,14,2,3499,0.0,0,3499.0,COD,1
O51,C44,P2,2026-01-06,Tuesday,14,3,1799,179.9,10,1619.1,UPI,0
O52,C87,P6,2026-01-11,Sunday,16,3,3199,319.90000000000003,10,2879.1,COD,1
O53,C66,P3,2026-02-22,Sunday,10,3,39999,15999.6,40,23999.4,COD,1
O54,C25,P3,2026-03-19,Thursday,4,2,39999,0.0,0,39999.0,Card,0
O55,C72,P2,2026-02-09,Monday,17,2,1799,359.8,20,1439.2,COD,1
O56,C14,P5,2026-01-28,Wednesday,10,2,3499,349.90000000000003,10,3149.1,COD,1
O57,C74,P1,2026-03-18,Wednesday,12,1,11999,1199.9,10,10799.1,COD,1
O58,C50,P4,2026-02-06,Friday,23,2,24990,2499.0,10,22491.0,Card,0
O59,C96,P2,2026-02-26,Thursday,14,2,1799,539.6999999999999,30,1259.3000000000002,Card,0
O60,C92,P4,2026-03-12,Thursday,3,3,24990,9996.0,40,14994.0,COD,1
O61,C76,P6,2026-02-14,Saturday,0,2,3199,0.0,0,3199.0,UPI,0
O62,C71,P1,2026-03-25,Wednesday,10,1,11999,1199.9,10,10799.1,COD,1
O63,C44,P1,2026-01-03,Saturday,8,1,11999,1199.9,10,10799.1,Card,0
O64,C46,P3,2026-03-21,Saturday,14,1,39999,0.0,0,39999.0,UPI,0
O65,C24,P1,2026-01-31,Saturday,18,2,11999,1199.9,10,10799.1,Card,0
O66,C31,P4,2026-02-19,Thursday,11,2,24990,0.0,0,24990.0,UPI,0
O67,C61,P5,2026-01-06,Tuesday,11,3,3499,699.8000000000001,20,2799.2,Card,0
O68,C15,P3,2026-01-05,Monday,9,1,39999,0.0,0,39999.0,COD,1
O69,C19,P5,2026-02-06,Friday,11,1,3499,699.8000000000001,20,2799.2,UPI,0
O70,C95,P1,2026-03-30,Monday,15,2,11999,4799.6,40,7199.4,UPI,0
O71,C75,P1,2026-02-07,Saturday,9,2,11999,4799.6,40,7199.4,Card,0
O72,C53,P1,2026-02-25,Wednesday,8,3,11999,0.0,0,11999.0,COD,1
O73,C85,P1,2026-02-26,Thursday,1,1,11999,0.0,0,11999.0,COD,1
O74,C85,P2,2026-02-17,Tuesday,14,1,1799,719.6,40,1079.4,COD,1
O75,C44,P2,2026-02-19,Thursday,17,1,1799,359.8,20,1439.2,UPI,0
O76,C56,P2,2026-02-27,Friday,5,3,1799,539.6999999999999,30,1259.3000000000002,COD,1
O77,C24,P3,2026-03-31,Tuesday,20,1,39999,7999.8,20,31999.2,Card,0
O78,C4,P2,2026-03-01,Sunday,17,1,1799,719.6,40,1079.4,COD,1
O79,C80,P5,2026-03-15,Sunday,2,1,3499,699.8000000000001,20,2799.2,Card,0
O80,C24,P3,2026-01-17,Saturday,13,3,39999,0.0,0,39999.0,COD,1
O81,C51,P1,2026-01-11,Sunday,8,1,11999,4799.6,40,7199.4,UPI,0
O82,C95,P1,2026-03-19,Thursday,10,3,11999,0.0,0,11999.0,COD,1
O83,C16,P1,2026-03-21,Saturday,20,1,11999,3599.7,30,8399.3,Card,0
O84,C66,P6,2026-03-30,Monday,1,1,3199,959.6999999999999,30,2239.3,UPI,0
O85,C41,P6,2026-02-14,Saturday,12,1,3199,639.8000000000001,20,2559.2,Card,0
O86,C1,P6,2026-02-07,Saturday,12,3,3199,959.6999999999999,30,2239.3,COD,1
O87,C51,P3,2026-03-05,Thursday,9,2,39999,0.0,0,39999.0,COD,1
O88,C9,P4,2026-03-25,Wednesday,21,2,24990,4998.0,20,19992.0,Card,0
O89,C73,P5,2026-03-14,Saturday,17,1,3499,699.8000000000001,20,2799.2,Card,0
O90,C53,P6,2026-01-13,Tuesday,12,2,3199,639.8000000000001,20,2559.2,Card,0
O91,C40,P6,2026-03-02,Monday,16,2,3199,319.90000000000003,10,2879.1,Card,0
O92,C62,P5,2026-02-08,Sunday,18,2,3499,1399.6000000000001,40,2099.3999999999996,Card,0
O93,C79,P2,2026-02-23,Monday,18,2,1799,0.0,0,1799.0,Card,0
O94,C4,P5,2026-03-09,Monday,20,3,3499,1399.6000000000001,40,2099.3999999999996,UPI,0
O95,C45,P2,2026-01-20,Tuesday,13,3,1799,179.9,10,1619.1,UPI,0
O96,C99,P2,2026-02-11,Wednesday,21,2,1799,719.6,40,1079.4,UPI,0
O97,C79,P6,2026-03-24,Tuesday,22,2,3199,1279.6000000000001,40,1919.3999999999999,UPI,0
O98,C70,P2,2026-03-04,Wednesday,10,2,1799,359.8,20,1439.2,Card,0
O99,C88,P2,2026-01-19,Monday,9,1,1799,359.8,20,1439.2,Card,0
O100,C6,P4,2026-03-13,Friday,22,2,24990,2499.0,10,22491.0,COD,1
O101,C24,P2,2026-03-02,Monday,3,3,1799,179.9,10,1619.1,COD,1
O102,C37,P4,2026-02-06,Friday,20,1,24990,0.0,0,24990.0,Card,0
O103,C35,P2,2026-01-05,Monday,12,2,1799,179.9,10,1619.1,Card,0
O104,C36,P3,2026-03-09,Monday,15,1,39999,15999.6,40,23999.4,UPI,0
O105,C50,P5,2026-02-07,Saturday,18,3,3499,349.90000000000003,10,3149.1,COD,1
O106,C18,P6,2026-01-18,Sunday,15,2,3199,319.90000000000003,10,2879.1,COD,1
O107,C65,P2,2026-03-25,Wednesday,11,3,1799,179.9,10,1619.1,COD,1
O108,C19,P5,2026-02-17,Tuesday,19,1,3499,349.90000000000003,10,3149.1,COD,1
O109,C64,P3,2026-03-10,Tuesday,21,1,39999,3999.9,10,35999.1,Card,0
O110,C52,P4,2026-03-12,Thursday,16,1,24990,9996.0,40,14994.0,Card,0
O111,C46,P4,2026-01-12,Monday,16,2,24990,0.0,0,24990.0,UPI,0
O112,C83,P3,2026-02-20,Friday,8,1,39999,3999.9,10,35999.1,Card,0
O113,C50,P2,2026-02-06,Friday,13,1,1799,179.9,10,1619.1,Card,0
O114,C2,P6,2026-03-26,Thursday,17,1,3199,639.8000000000001,20,2559.2,COD,1
O115,C68,P2,2026-03-11,Wednesday,13,3,1799,539.6999999999999,30,1259.3000000000002,COD,1
O116,C94,P1,2026-01-31,Saturday,6,1,11999,0.0,0,11999.0,Card,0
O117,C42,P1,2026-03-11,Wednesday,6,1,11999,1199.9,10,10799.1,Card,0
O118,C86,P6,2026-02-11,Wednesday,7,2,3199,319.90000000000003,10,2879.1,Card,0
O119,C97,P1,2026-01-07,Wednesday,11,3,11999,3599.7,30,8399.3,Card,0
O120,C40,P6,2026-02-08,Sunday,22,1,3199,959.6999999999999,30,2239.3,COD,1
O121,C25,P6,2026-03-24,Tuesday,2,2,3199,639.8000000000001,20,2559.2,COD,1
O122,C74,P5,2026-03-27,Friday,17,1,3499,1049.7,30,2449.3,COD,1
O123,C78,P1,2026-03-03,Tuesday,7,3,11999,4799.6,40,7199.4,Card,0
O124,C88,P2,2026-02-03,Tuesday,11,3,1799,539.6999999999999,30,1259.3000000000002,UPI,0
O125,C6,P6,2026-01-29,Thursday,23,1,3199,0.0,0,3199.0,UPI,0
O126,C67,P3,2026-03-12,Thursday,20,3,39999,7999.8,20,31999.2,UPI,0
O127,C41,P4,2026-03-11,Wednesday,15,1,24990,9996.0,40,14994.0,Card,0
O128,C20,P2,2026-01-30,Friday,2,3,1799,179.9,10,1619.1,COD,1
O129,C18,P4,2026-02-22,Sunday,0,1,24990,9996.0,40,14994.0,Card,0
O130,C72,P2,2026-01-31,Saturday,6,3,1799,719.6,40,1079.4,UPI,0
O131,C61,P1,2026-02-08,Sunday,21,1,11999,0.0,0,11999.0,COD,1
O132,C85,P2,2026-02-25,Wednesday,20,2,1799,719.6,40,1079.4,COD,1
O133,C44,P3,2026-03-11,Wednesday,18,3,39999,0.0,0,39999.0,COD,1
O134,C29,P1,2026-03-14,Saturday,12,3,11999,4799.6,40,7199.4,UPI,0
O135,C43,P6,2026-01-13,Tuesday,13,1,3199,0.0,0,3199.0,UPI,0
O136,C45,P3,2026-02-18,Wednesday,13,1,39999,15999.6,40,23999.4,Card,0
O137,C32,P6,2026-03-23,Monday,4,3,3199,959.6999999999999,30,2239.3,UPI,0
O138,C93,P2,2026-02-27,Friday,17,3,1799,719.6,40,1079.4,UPI,0
O139,C48,P2,2026-01-11,Sunday,23,3,1799,179.9,10,1619.1,Card,0
O140,C6,P1,2026-01-22,Thursday,13,2,11999,3599.7,30,8399.3,UPI,0
O141,C49,P2,2026-02-08,Sunday,0,2,1799,359.8,20,1439.2,Card,0
O142,C3,P6,2026-01-26,Monday,15,2,3199,319.90000000000003,10,2879.1,UPI,0
O143,C21,P1,2026-02-20,Friday,11,1,11999,4799.6,40,7199.4,COD,1
O144,C23,P4,2026-03-30,Monday,2,2,24990,7497.0,30,17493.0,COD,1
O145,C8,P1,2026-03-03,Tuesday,18,2,11999,4799.6,40,7199.4,Card,0
O146,C95,P1,2026-01-22,Thursday,20,3,11999,0.0,0,11999.0,Card,0
O147,C14,P2,2026-03-08,Sunday,17,3,1799,719.6,40,1079.4,COD,1
O148,C16,P6,2026-02-07,Saturday,13,1,3199,0.0,0,3199.0,Card,0
O149,C9,P1,2026-03-31,Tuesday,14,2,11999,0.0,0,11999.0,UPI,0
