order_id,is_returned,return_reason,return_days_after_delivery
O1,1,SIZE_FIT_ISSUE,9
O2,0,NONE,0
O3,0,NONE,0
O4,1,SIZE_FIT_ISSUE,7
O5,0,NONE,0
O6,0,NONE,0
O7,1,DELIVERY_DELAY,2
O8,0,NONE,0
O9,0,NONE,0
O10,1,QUALITY_DEFECT,4
O11,0,NONE,0
O12,1,WRONG_ITEM,3
O13,0,NONE,0
O14,0,NONE,0
O15,1,SIZE_FIT_ISSUE,3
O16,0,NONE,0
O17,0,NONE,0
O18,0,NONE,0
O19,0,NONE,0
O20,0,NONE,0
O21,0,NONE,0
O22,0,NONE,0
O23,0,NONE,0
O24,0,NONE,0
O25,0,NONE,0
O26,0,NONE,0
O27,0,NONE,0
O28,0,NONE,0
O29,0,NONE,0
O30,1,SIZE_FIT_ISSUE,7
O31,0,NONE,0
O32,0,NONE,0
O33,0,NONE,0
O34,0,NONE,0
O35,0,NONE,0
O36,1,SIZE_FIT_ISSUE,7
O37,0,NONE,0
O38,0,NONE,0
O39,0,NONE,0
O40,0,NONE,0
O41,0,NONE,0
O42,0,NONE,0
O43,0,NONE,0
O44,0,NONE,0
O45,0,NONE,0
O46,0,NONE,0
O47,0,NONE,0
O48,0,NONE,0
O49,0,NONE,0
O50,0,NONE,0
O51,0,NONE,0
O52,0,NONE,0
O53,0,NONE,0
O54,0,NONE,0
O55,0,NONE,0
O56,1,SIZE_FIT_ISSUE,3
O57,1,SIZE_FIT_ISSUE,10
O58,0,NONE,0
O59,1,SIZE_FIT_ISSUE,6
O60,1,QUALITY_DEFECT,8
O61,0,NONE,0
O62,0,NONE,0
O63,0,NONE,0
O64,0,NONE,0
O65,0,NONE,0
O66,0,NONE,0
O67,0,NONE,0
O68,0,NONE,0
O69,0,NONE,0
O70,0,NONE,0
O71,0,NONE,0
O72,0,NONE,0
O73,1,SIZE_FIT_ISSUE,6
O74,1,SIZE_FIT_ISSUE,9
O75,0,NONE,0
O76,0,NONE,0
O77,0,NONE,0
O78,0,NONE,0
O79,0,NONE,0
O80,1,DELIVERY_DELAY,5
O81,1,SIZE_FIT_ISSUE,10
O82,0,NONE,0
O83,0,NONE,0
O84,0,NONE,0
O85,0,NONE,0
O86,0,NONE,0
O87,0,NONE,0
O88,0,NONE,0
O89,0,NONE,0
O90,0,NONE,0
O91,0,NONE,0
O92,0,NONE,0
O93,0,NONE,0
O94,0,NONE,0
O95,0,NONE,0
O96,0,NONE,0
O97,0,NONE,0
O98,0,NONE,0
O99,0,NONE,0
O100,1,QUALITY_DEFECT,6
O101,1,DELIVERY_DELAY,6
O102,0,NONE,0
O103,1,DELIVERY_DELAY,9
O104,1,QUALITY_DEFECT,6
O105,0,NONE,0
O106,1,DELIVERY_DELAY,5
O107,1,SIZE_FIT_ISSUE,5
O108,0,NONE,0
O109,0,NONE,0
O110,0,NONE,0
O111,0,NONE,0
O112,0,NONE,0
O113,0,NONE,0
O114,0,NONE,0
O115,1,SIZE_FIT_ISSUE,1
O116,0,NONE,0
O117,0,NONE,0
O118,0,NONE,0
O119,1,SIZE_FIT_ISSUE,4
O120,0,NONE,0
O121,0,NONE,0
O122,0,NONE,0
O123,1,SIZE_FIT_ISSUE,5
O124,0,NONE,0
O125,0,NONE,0
O126,0,NONE,0
O127,0,NONE,0
O128,1,SIZE_FIT_ISSUE,9
O129,1,DELIVERY_DELAY,3
O130,1,SIZE_FIT_ISSUE,4
O131,0,NONE,0
O132,1,SIZE_FIT_ISSUE,5
O133,0,NONE,0
O134,0,NONE,0
O135,0,NONE,0
O136,0,NONE,0
O137,1,WRONG_ITEM,7
O138,0,NONE,0
O139,0,NONE,0
O140,1,DELIVERY_DELAY,3
O141,0,NONE,0
O142,0,NONE,0
O143,0,NONE,0
O144,0,NONE,0
O145,1,SIZE_FIT_ISSUE,6
O146,0,NONE,0
O147,0,NONE,0
O148,0,NONE,0
O149,0,NONE,0
O150,0,NONE,0
O151,1,NO_LONGER_NEEDED,2
O152,0,NONE,0
O153,0,NONE,0
O154,1,DELIVERY_DELAY,3
O155,0,NONE,0
O156,0,NONE,0
O157,0,NONE,0
O158,1,SIZE_FIT_ISSUE,5
O159,0,NONE,0
O160,0,NONE,0
O161,0,NONE,0
O162,0,NONE,0
O163,0,NONE,0
O164,0,NONE,0
O165,1,SIZE_FIT_ISSUE,8
O166,0,NONE,0
O167,0,NONE,0
O168,0,NONE,0
O169,1,WRONG_ITEM,3
O170,0,NONE,0
O171,0,NONE,0
O172,0,NONE,0
O173,1,QUALITY_DEFECT,10
O174,0,NONE,0
O175,1,NO_LONGER_NEEDED,3
O176,0,NONE,0
O177,0,NONE,0
O178,0,NONE,0
O179,0,NONE,0
O180,0,NONE,0
O181,0,NONE,0
O182,1,DELIVERY_DELAY,5
O183,0,NONE,0
O184,0,NONE,0
O185,1,SIZE_FIT_ISSUE,9
O186,1,QUALITY_DEFECT,3
O187,0,NONE,0
O188,1,SIZE_FIT_ISSUE,2
O189,0,NONE,0
O190,0,NONE,0
O191,0,NONE,0
O192,0,NONE,0
O193,0,NONE,0
O194,0,NONE,0
O195,1,SIZE_FIT_ISSUE,10
O196,1,SIZE_FIT_ISSUE,4
O197,0,NONE,0
O198,0,NONE,0
O199,1,SIZE_FIT_ISSUE,10
O200,0,NONE,0
O201,0,NONE,0
O202,0,NONE,0
O203,0,NONE,0
O204,1,DELIVERY_DELAY,2
O205,0,NONE,0
O206,0,NONE,0
O207,0,NONE,0
O208,1,SIZE_FIT_ISSUE,9
O209,0,NONE,0
O210,0,NONE,0
O211,0,NONE,0
O212,0,NONE,0
O213,0,NONE,0
O214,0,NONE,0
O215,0,NONE,0
O216,0,NONE,0
O217,1,SIZE_FIT_ISSUE,5
O218,1,DELIVERY_DELAY,4
O219,0,NONE,0
O220,0,NONE,0
O221,0,NONE,0
O222,0,NONE,0
O223,0,NONE,0
O224,0,NONE,0
O225,1,QUALITY_DEFECT,5
O226,1,SIZE_FIT_ISSUE,6
O227,0,NONE,0
O228,1,SIZE_FIT_ISSUE,1
O229,1,SIZE_FIT_ISSUE,9
O230,0,NONE,0
O231,0,NONE,0
O232,0,NONE,0
O233,0,NONE,0
O234,0,NONE,0
O235,1,WRONG_ITEM,6
O236,0,NONE,0
O237,0,NONE,0
O238,1,SIZE_FIT_ISSUE,2
O239,0,NONE,0
O240,0,NONE,0
O241,0,NONE,0
O242,0,NONE,0
O243,1,SIZE_FIT_ISSUE,3
O244,0,NONE,0
O245,0,NONE,0
O246,0,NONE,0
O247,0,NONE,0
O248,1,SIZE_FIT_ISSUE,7
O249,0,NONE,0
O250,0,NONE,0
O251,0,NONE,0
O252,0,NONE,0
O253,0,NONE,0
O254,1,DELIVERY_DELAY,6
O255,0,NONE,0
O256,1,QUALITY_DEFECT,6
O257,0,NONE,0
O258,0,NONE,0
O259,0,NONE,0
O260,0,NONE,0
O261,1,SIZE_FIT_ISSUE,7
O262,0,NONE,0
O263,0,NONE,0
O264,0,NONE,0
O265,0,NONE,0
O266,0,NONE,0
O267,1,QUALITY_DEFECT,1
O268,0,NONE,0
O269,0,NONE,0
O270,0,NONE,0
O271,0,NONE,0
O272,0,NONE,0
O273,0,NONE,0
O274,1,SIZE_FIT_ISSUE,10
O275,0,NONE,0
O276,0,NONE,0
O277,0,NONE,0
O278,1,QUALITY_DEFECT,4
O279,0,NONE,0
O280,0,NONE,0
O281,0,NONE,0
O282,1,SIZE_FIT_ISSUE,6
O283,1,SIZE_FIT_ISSUE,9
O284,0,NONE,0
O285,1,SIZE_FIT_ISSUE,7
O286,0,NONE,0
O287,0,NONE,0
O288,1,QUALITY_DEFECT,3
O289,0,NONE,0
O290,1,QUALITY_DEFECT,10
O291,1,SIZE_FIT_ISSUE,1
O292,0,NONE,0
O293,1,SIZE_FIT_ISSUE,10
O294,0,NONE,0
O295,1,SIZE_FIT_ISSUE,9
O296,0,NONE,0
O297,0,NONE,0
O298,1,SIZE_FIT_ISSUE,7
O299,0,NONE,0
O300,1,DELIVERY_DELAY,5
O301,1,SIZE_FIT_ISSUE,6
O302,0,NONE,0
O303,0,NONE,0
O304,1,QUALITY_DEFECT,4
O305,0,NONE,0
O306,0,NONE,0
O307,0,NONE,0
O308,0,NONE,0
O309,0,NONE,0
O310,0,NONE,0
O311,0,NONE,0
O312,1,DELIVERY_DELAY,10
O313,0,NONE,0
O314,0,NONE,0
O315,0,NONE,0
O316,1,SIZE_FIT_ISSUE,9
O317,1,SIZE_FIT_ISSUE,9
O318,0,NONE,0
O319,0,NONE,0
O320,1,QUALITY_DEFECT,10
O321,0,NONE,0
O322,0,NONE,0
O323,1,SIZE_FIT_ISSUE,2
O324,0,NONE,0
O325,0,NONE,0
O326,0,NONE,0
O327,0,NONE,0
O328,1,DELIVERY_DELAY,8
O329,0,NONE,0
O330,0,NONE,0
O331,0,NONE,0
O332,1,SIZE_FIT_ISSUE,2
O333,0,NONE,0
O334,1,SIZE_FIT_ISSUE,4
O335,1,DELIVERY_DELAY,6
O336,0,NONE,0
O337,0,NONE,0
O338,1,QUALITY_DEFECT,3
O339,0,NONE,0
O340,0,NONE,0
O341,0,NONE,0
O342,0,NONE,0
O343,0,NONE,0
O344,0,NONE,0
O345,0,NONE,0
O346,0,NONE,0
O347,1,QUALITY_DEFECT,9
O348,0,NONE,0
O349,0,NONE,0
O350,0,NONE,0
O351,0,NONE,0
O352,1,SIZE_FIT_ISSUE,4
O353,1,SIZE_FIT_ISSUE,10
O354,0,NONE,0
O355,1,QUALITY_DEFECT,4
O356,0,NONE,0
O357,0,NONE,0
O358,1,DELIVERY_DELAY,7
O359,1,SIZE_FIT_ISSUE,8
O360,0,NONE,0
O361,0,NONE,0
O362,0,NONE,0
O363,0,NONE,0
O364,0,NONE,0
O365,1,DELIVERY_DELAY,1
O366,0,NONE,0
O367,1,QUALITY_DEFECT,4
O368,0,NONE,0
O369,1,DELIVERY_DELAY,2
O370,0,NONE,0
O371,1,SIZE_FIT_ISSUE,3
O372,0,NONE,0
O373,0,NONE,0
O374,0,NONE,0
O375,0,NONE,0
O376,1,SIZE_FIT_ISSUE,9
O377,1,QUALITY_DEFECT,8
O378,1,SIZE_FIT_ISSUE,9
O379,0,NONE,0
O380,1,DELIVERY_DELAY,8
O381,0,NONE,0
O382,0,NONE,0
O383,0,NONE,0
O384,1,DELIVERY_DELAY,7
O385,0,NONE,0
O386,0,NONE,0
O387,0,NONE,0
O388,1,DELIVERY_DELAY,4
O389,0,NONE,0
O390,0,NONE,0
O391,0,NONE,0
O392,0,NONE,0
O393,1,SIZE_FIT_ISSUE,9
O394,0,NONE,0
O395,0,NONE,0
O396,1,SIZE_FIT_ISSUE,4
O397,0,NONE,0
O398,0,NONE,0
O399,0,NONE,0
O400,1,SIZE_FIT_ISSUE,2
O401,0,NONE,0
O402,0,NONE,0
O403,0,NONE,0
O404,1,SIZE_FIT_ISSUE,10
O405,0,NONE,0
O406,1,SIZE_FIT_ISSUE,2
O407,0,NONE,0
O408,0,NONE,0
O409,1,SIZE_FIT_ISSUE,7
O410,0,NONE,0
O411,0,NONE,0
O412,0,NONE,0
O413,0,NONE,0
O414,0,NONE,0
O415,0,NONE,0
O416,0,NONE,0
O417,1,SIZE_FIT_ISSUE,2
O418,0,NONE,0
O419,0,NONE,0
O420,0,NONE,0
O421,0,NONE,0
O422,0,NONE,0
O423,1,SIZE_FIT_ISSUE,10
O424,1,SIZE_FIT_ISSUE,8
O425,0,NONE,0
O426,1,SIZE_FIT_ISSUE,8
O427,0,NONE,0
O428,0,NONE,0
O429,0,NONE,0
O430,0,NONE,0
O431,0,NONE,0
O432,0,NONE,0
O433,1,WRONG_ITEM,10
O434,0,NONE,0
O435,0,NONE,0
O436,0,NONE,0
O437,0,NONE,0
O438,1,QUALITY_DEFECT,1
O439,1,DELIVERY_DELAY,10
O440,0,NONE,0
O441,0,NONE,0
O442,1,DELIVERY_DELAY,2
O443,0,NONE,0
O444,0,NONE,0
O445,1,SIZE_FIT_ISSUE,10
O446,0,NONE,0
O447,0,NONE,0
O448,1,SIZE_FIT_ISSUE,8
O449,0,NONE,0
O450,0,NONE,0
O451,0,NONE,0
O452,0,NONE,0
O453,0,NONE,0
O454,1,QUALITY_DEFECT,1
O455,0,NONE,0
O456,1,SIZE_FIT_ISSUE,4
O457,0,NONE,0
O458,0,NONE,0
O459,0,NONE,0
O460,0,NONE,0
O461,1,DELIVERY_DELAY,6
O462,0,NONE,0
O463,1,QUALITY_DEFECT,3
O464,0,NONE,0
O465,0,NONE,0
O466,0,NONE,0
O467,1,QUALITY_DEFECT,10
O468,1,QUALITY_DEFECT,10
O469,0,NONE,0
O470,1,QUALITY_DEFECT,10
O471,1,DELIVERY_DELAY,5
O472,1,SIZE_FIT_ISSUE,5
O473,0,NONE,0
O474,0,NONE,0
O475,0,NONE,0
O476,0,NONE,0
O477,0,NONE,0
O478,0,NONE,0
O479,0,NONE,0
O480,0,NONE,0
O481,0,NONE,0
O482,0,NONE,0
O483,0,NONE,0
O484,0,NONE,0
O485,0,NONE,0
O486,1,SIZE_FIT_ISSUE,2
O487,1,WRONG_ITEM,6
O488,0,NONE,0
O489,0,NONE,0
O490,0,NONE,0
O491,0,NONE,0
O492,0,NONE,0
O493,0,NONE,0
O494,0,NONE,0
O495,0,NONE,0
O496,0,NONE,0
O497,0,NONE,0
O498,0,NONE,0
O499,1,SIZE_FIT_ISSUE,9
O500,1,QUALITY_DEFECT,10
O501,0,NONE,0
O502,1,SIZE_FIT_ISSUE,10
O503,1,DELIVERY_DELAY,9
O504,0,NONE,0
O505,0,NONE,0
O506,0,NONE,0
O507,1,QUALITY_DEFECT,7
O508,0,NONE,0
O509,1,WRONG_ITEM,3
O510,0,NONE,0
O511,1,QUALITY_DEFECT,8
O512,0,NONE,0
O513,0,NONE,0
O514,1,QUALITY_DEFECT,4
O515,0,NONE,0
O516,1,SIZE_FIT_ISSUE,3
O517,1,NO_LONGER_NEEDED,3
