order_id,customer_id,product_id,product_category,product_price,order_value,quantity,discount_amount,discount_percentage,shipping_mode,expected_delivery_days,actual_delivery_days,delivery_delay,customer_region,warehouse_region,distance_km,is_remote_area,is_returned,return_reason
1,1,P16,Home,2028,2028,1,0.0,0,Standard,6,8,2,North,North,241,0,0,NO_RETURN
2,1,P15,Electronics,4339,13017,3,0.0,0,Standard,6,8,2,South,West,1256,1,0,NO_RETURN
3,1,P52,Home,253,253,1,75.89999999999999,30,Express,4,4,0,South,East,259,0,0,NO_RETURN
4,1,P25,Clothing,992,1984,2,396.8,20,Express,2,6,4,West,North,1938,1,1,DELIVERY_DELAY
5,1,P6,Beauty,4722,9444,2,3777.6000000000004,40,Express,6,6,0,North,North,1404,1,1,QUALITY_DEFECT
6,1,P6,Home,2107,2107,1,632.1,30,Express,5,9,4,East,South,808,0,1,DELIVERY_DELAY
7,1,P14,Home,5690,11380,2,0.0,0,Standard,6,10,4,South,South,996,0,0,NO_RETURN
8,1,P18,Beauty,5442,16326,3,6530.400000000001,40,Standard,4,3,-1,South,North,1698,1,1,NOT_AS_DESCRIBED
9,2,P14,Clothing,4846,14538,3,2907.6000000000004,20,Standard,5,7,2,West,South,592,0,0,NO_RETURN
10,2,P16,Electronics,4798,14394,3,2878.8,20,Express,6,8,2,East,South,333,0,0,NO_RETURN
11,2,P32,Sports,944,944,1,0.0,0,Standard,3,7,4,West,North,838,0,0,NO_RETURN
12,2,P39,Beauty,4034,12102,3,2420.4,20,Standard,2,6,4,East,East,278,0,0,NO_RETURN
13,2,P28,Home,1495,2990,2,0.0,0,Express,6,6,0,North,East,1773,1,0,NO_RETURN
14,2,P39,Sports,1829,1829,1,365.8,20,Standard,6,9,3,North,East,1050,0,0,NO_RETURN
15,2,P8,Clothing,3173,6346,2,634.6,10,Standard,3,6,3,North,North,1548,1,1,DELIVERY_DELAY
16,2,P53,Beauty,766,2298,3,229.8,10,Standard,5,8,3,South,East,1130,0,0,NO_RETURN
17,2,P28,Sports,1935,5805,3,580.5,10,Express,5,9,4,East,West,1892,1,0,NO_RETURN
18,2,P29,Sports,1191,1191,1,119.10000000000001,10,Standard,4,3,-1,South,South,64,0,0,NO_RETURN
19,2,P46,Clothing,5369,5369,1,536.9,10,Standard,2,3,1,North,South,620,0,0,NO_RETURN
20,2,P14,Beauty,4617,4617,1,1846.8000000000002,40,Express,3,5,2,West,South,243,0,1,DELIVERY_DELAY
21,3,P28,Home,3567,7134,2,0.0,0,Standard,2,4,2,East,North,559,0,1,DELIVERY_DELAY
22,3,P13,Electronics,4593,9186,2,918.6,10,Express,3,4,1,West,South,1840,1,0,NO_RETURN
23,3,P29,Clothing,4708,4708,1,0.0,0,Standard,2,2,0,South,West,1044,0,0,NO_RETURN
24,3,P14,Beauty,3485,3485,1,348.5,10,Express,2,4,2,East,West,634,0,1,DELIVERY_DELAY
25,3,P45,Beauty,4752,14256,3,4276.8,30,Standard,3,4,1,South,North,1236,1,1,QUALITY_DEFECT
26,3,P4,Home,610,1830,3,549.0,30,Standard,2,5,3,North,South,190,0,1,DELIVERY_DELAY
27,3,P5,Sports,5731,5731,1,1719.3,30,Standard,6,6,0,North,North,908,0,0,NO_RETURN
28,3,P37,Sports,4482,8964,2,1792.8000000000002,20,Standard,4,4,0,East,West,318,0,0,NO_RETURN
29,3,P30,Home,2790,2790,1,0.0,0,Express,6,9,3,North,North,1151,0,1,DELIVERY_DELAY
30,3,P33,Electronics,2372,2372,1,474.40000000000003,20,Standard,3,4,1,East,South,947,0,0,NO_RETURN
31,3,P46,Sports,2678,8034,3,3213.6000000000004,40,Standard,6,7,1,North,South,591,0,0,NO_RETURN
32,3,P57,Clothing,1076,3228,3,1291.2,40,Standard,4,5,1,South,East,466,0,1,NO_LONGER_NEEDED
33,3,P32,Sports,2257,2257,1,0.0,0,Express,4,3,-1,North,East,1629,1,0,NO_RETURN
34,3,P41,Electronics,2345,2345,1,703.5,30,Express,6,5,-1,North,North,1985,1,1,QUALITY_DEFECT
35,4,P38,Home,4726,4726,1,1417.8,30,Standard,2,3,1,East,North,1890,1,0,NO_RETURN
36,4,P14,Home,5787,5787,1,0.0,0,Express,6,8,2,South,South,1820,1,0,NO_RETURN
37,4,P52,Electronics,1650,3300,2,0.0,0,Standard,4,6,2,South,East,376,0,0,NO_RETURN
38,4,P25,Clothing,517,1034,2,103.4,10,Standard,5,6,1,East,South,506,0,0,NO_RETURN
39,4,P43,Clothing,1782,3564,2,712.8000000000001,20,Express,2,3,1,East,West,1441,1,1,NO_LONGER_NEEDED
40,4,P8,Clothing,2339,2339,1,935.6,40,Express,2,1,-1,West,East,1542,1,1,NO_LONGER_NEEDED
41,4,P39,Beauty,4389,4389,1,1316.7,30,Standard,4,3,-1,West,North,1114,0,1,QUALITY_DEFECT
42,4,P28,Home,773,2319,3,463.8,20,Express,2,6,4,East,East,1415,1,1,DELIVERY_DELAY
43,5,P45,Beauty,2622,7866,3,786.6,10,Standard,5,9,4,West,South,1310,1,0,NO_RETURN
44,5,P20,Sports,3526,10578,3,0.0,0,Express,4,4,0,West,East,1002,0,0,NO_RETURN
45,5,P29,Beauty,5734,5734,1,2293.6,40,Express,3,7,4,North,East,1105,0,1,DELIVERY_DELAY
