order_id,customer_id,product_id,order_date,order_day_of_week,order_hour,quantity,product_price,discount_amount,discount_percentage,final_price,payment_method,is_cod,shipping_mode,courier_partner,warehouse_city,delivery_city,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area,delivery_attempts,courier_delay_rate,warehouse_processing_time,is_returned,return_reason,return_days_after_delivery,city,state,pincode,customer_tenure_days,total_orders,total_returns,overall_return_rate,avg_order_value,avg_days_between_orders,last_order_days_ago,preferred_category,frequent_return_flag,product_name,category,brand,price,price_band,product_return_rate,category_return_rate,avg_rating,rating_variance,size_variants_count,is_fragile
O1,C97,P4,2025-01-06,Monday,17,1,24990,2499.0,10,22491.0,COD,1,Express,Ecom Express,Hyderabad,Delhi,2,2,0,1377,1,3,0.29,1.28,0,NONE,0,Delhi,Delhi,196168,257,32,5,0.16,15282,27.115744342950187,60,Apparel,0,Sony WH-1000XM4 Headphones,Electronics,Sony,24990,high,0.05,0.065,4.8,0.2,1,1
O2,C642,P6,2025-05-23,Friday,5,2,3199,767.76,12,5630.24,Card,0,Express,Delhivery,Bangalore,Hyderabad,1,3,2,1248,1,3,0.22,1.88,1,DAMAGED_IN_TRANSIT,3,Hyderabad,Telangana,719677,471,49,0,0.0,14765,19.180279856049786,22,Electronics,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O3,C475,P5,2025-04-21,Monday,12,1,3499,1399.6,40,2099.4,COD,1,Standard,Ecom Express,Chennai,Jaipur,4,7,3,910,1,2,0.16,1.01,1,WRONG_ITEM,7,Jaipur,Rajasthan,996531,705,13,0,0.0,4402,23.695354876997193,29,Electronics,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O4,C842,P1,2025-04-14,Monday,10,1,11999,2279.81,19,9719.19,COD,1,Express,Delhivery,Mumbai,Delhi,1,1,0,414,0,1,0.29,1.19,0,NONE,0,Delhi,Delhi,466586,125,12,0,0.0,7175,26.704327740541927,12,Electronics,0,Nike Air Zoom Pegasus 40,Footwear,Nike,11999,mid,0.12,0.12,4.5,0.4,8,0
O5,C947,P3,2025-12-07,Sunday,20,1,39999,3999.9,10,35999.1,UPI,0,Standard,Delhivery,Hyderabad,Mumbai,3,3,0,856,1,3,0.15,1.86,0,NONE,0,Mumbai,Maharashtra,810477,87,11,0,0.0,18825,6.305078583753996,55,Home Appliances,0,Samsung Galaxy S21 FE,Electronics,Samsung,39999,high,0.08,0.065,4.3,0.3,1,1
O6,C982,P6,2025-04-29,Tuesday,8,1,3199,639.8,20,2559.2,COD,1,Standard,Ecom Express,Kolkata,Hyderabad,5,10,5,360,0,1,0.17,1.44,1,CHANGED_MIND,5,Hyderabad,Telangana,571829,601,33,1,0.03,1486,14.367504183007444,37,Electronics,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O7,C174,P5,2025-11-03,Monday,22,1,3499,0.0,0,3499.0,Card,0,Standard,BlueDart,Delhi,Hyderabad,4,4,0,520,0,2,0.09,2.52,0,NONE,0,Hyderabad,Telangana,711474,530,50,0,0.0,3479,27.472233792836843,29,Apparel,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
O8,C108,P2,2025-12-19,Friday,18,1,1799,539.7,30,1259.3,UPI,0,Standard,Ecom Express,Bangalore,Lucknow,3,10,7,691,0,1,0.16,2.52,1,SIZE_FIT_ISSUE,2,Lucknow,Uttar Pradesh,291132,860,45,13,0.29,4918,6.577513425805615,50,Home Appliances,0,Levi's Slim Fit T-Shirt,Apparel,Levi's,1799,low,0.25,0.235,4.0,0.8,5,0
O9,C2,P6,2025-06-08,Sunday,6,1,3199,959.7,30,2239.3,COD,1,Standard,Delhivery,Jaipur,Hyderabad,4,4,0,1274,1,1,0.21,1.48,0,NONE,0,Hyderabad,Telangana,926097,840,21,1,0.05,19826,21.529576071334194,60,Electronics,0,Philips HL7756 Mixer Grinder,Home Appliances,Philips,3199,mid,0.07,0.07,4.2,0.5,1,1
O10,C39,P5,2025-11-03,Monday,16,1,3499,1119.68,32,2379.32,UPI,0,Standard,BlueDart,Chennai,Kolkata,5,7,2,279,0,1,0.21,2.47,0,NONE,0,Kolkata,West Bengal,885395,718,48,0,0.0,9090,19.614002291304153,53,Footwear,0,Levi's 511 Slim Jeans,Apparel,Levi's,3499,mid,0.22,0.235,3.9,0.9,6,0
