order_id,shipping_mode,courier_partner,warehouse_city,delivery_city,expected_delivery_days,actual_delivery_days,delivery_delay,distance_km,is_remote_area,delivery_attempts,courier_delay_rate,warehouse_processing_time
O1,Express,Ecom Express,Hyderabad,Delhi,2,2,0,1377,1,3,0.29,1.28
O2,Express,Delhivery,Bangalore,Hyderabad,1,3,2,1248,1,3,0.22,1.88
O3,Standard,Ecom Express,Chennai,Jaipur,4,7,3,910,1,2,0.16,1.01
O4,Express,Delhivery,Mumbai,Delhi,1,1,0,414,0,1,0.29,1.19
O5,Standard,Delhivery,Hyderabad,Mumbai,3,3,0,856,1,3,0.15,1.86
O6,Standard,Ecom Express,Kolkata,Hyderabad,5,10,5,360,0,1,0.17,1.44
O7,Standard,BlueDart,Delhi,Hyderabad,4,4,0,520,0,2,0.09,2.52
O8,Standard,Ecom Express,Bangalore,Lucknow,3,10,7,691,0,1,0.16,2.52
O9,Standard,Delhivery,Jaipur,Hyderabad,4,4,0,1274,1,1,0.21,1.48
O10,Standard,BlueDart,Chennai,Kolkata,5,7,2,279,0,1,0.21,2.47
O11,Express,Ecom Express,Kolkata,Hyderabad,3,3,0,513,0,1,0.16,1.01
O12,Express,Ecom Express,Hyderabad,Delhi,1,3,2,1304,1,1,0.28,1.85
O13,Standard,Ecom Express,Hyderabad,Kolkata,4,5,1,873,1,2,0.37,1.96
O14,Standard,BlueDart,Bangalore,Jaipur,6,6,0,908,1,2,0.16,1.17
O15,Standard,Ecom Express,Lucknow,Delhi,4,5,1,531,0,1,0.23,2.43
O16,Standard,BlueDart,Jaipur,Hyderabad,3,4,1,31,0,3,0.24,1.98
O17,Express,Ecom Express,Kolkata,Hyderabad,2,5,3,1817,1,3,0.33,2.27
O18,Standard,Ecom Express,Bangalore,Delhi,6,6,0,1511,1,3,0.22,1.3
O19,Standard,Delhivery,Mumbai,Mumbai,5,6,1,511,0,3,0.33,1.77
O20,Express,Ecom Express,Chennai,Lucknow,3,4,1,1868,1,3,0.39,2.32
O21,Standard,BlueDart,Hyderabad,Mumbai,3,4,1,228,0,3,0.25,1.62
O22,Standard,Ecom Express,Jaipur,Jaipur,3,4,1,148,0,1,0.19,1.37
O23,Standard,Delhivery,Hyderabad,Delhi,3,4,1,927,1,2,0.4,2.74
O24,Standard,Delhivery,Kolkata,Lucknow,3,3,0,1783,1,1,0.2,1.96
O25,Express,Ecom Express,Chennai,Mumbai,3,3,0,1197,1,2,0.17,1.67
O26,Same-Day,BlueDart,Kolkata,Mumbai,1,1,0,1677,1,1,0.05,2.74
O27,Standard,Ecom Express,Lucknow,Chennai,5,5,0,1952,1,3,0.15,1.38
O28,Express,BlueDart,Hyderabad,Kolkata,1,1,0,1302,1,3,0.17,2.48
O29,Standard,Ecom Express,Bangalore,Delhi,3,3,0,1508,1,1,0.17,1.17
O30,Standard,Ecom Express,Mumbai,Bangalore,3,4,1,992,1,1,0.26,2.43
O31,Same-Day,Delhivery,Delhi,Delhi,1,2,1,1574,1,3,0.31,1.98
O32,Same-Day,BlueDart,Jaipur,Delhi,0,1,1,1323,1,1,0.21,1.23
O33,Standard,BlueDart,Bangalore,Kolkata,4,5,1,1529,1,2,0.17,2.07
O34,Same-Day,Ecom Express,Hyderabad,Delhi,1,2,1,1638,1,1,0.25,2.08
O35,Same-Day,Ecom Express,Bangalore,Mumbai,0,0,0,1028,1,3,0.13,2.0
O36,Standard,Delhivery,Hyderabad,Kolkata,4,6,2,1018,1,3,0.38,1.45
O37,Standard,Delhivery,Jaipur,Bangalore,6,6,0,1494,1,2,0.16,1.95
O38,Standard,Ecom Express,Jaipur,Hyderabad,3,3,0,1086,1,1,0.08,2.5
O39,Express,BlueDart,Chennai,Kolkata,3,3,0,627,0,1,0.1,2.61
O40,Same-Day,BlueDart,Jaipur,Bangalore,1,1,0,1491,1,3,0.26,2.85
O41,Standard,Ecom Express,Jaipur,Jaipur,3,4,1,245,0,1,0.16,1.48
O42,Express,Delhivery,Lucknow,Jaipur,3,3,0,1531,1,3,0.15,2.26
O43,Express,Delhivery,Lucknow,Jaipur,1,1,0,174,0,2,0.22,1.19
O44,Standard,BlueDart,Bangalore,Jaipur,6,6,0,616,0,2,0.19,2.07
O45,Standard,Delhivery,Bangalore,Jaipur,4,5,1,1982,1,3,0.26,1.63
O46,Express,Delhivery,Chennai,Lucknow,3,3,0,335,0,2,0.29,1.34
O47,Standard,BlueDart,Delhi,Hyderabad,3,3,0,1942,1,3,0.17,1.63
O48,Standard,BlueDart,Hyderabad,Bangalore,4,6,2,1413,1,1,0.3,1.43
O49,Standard,BlueDart,Mumbai,Bangalore,3,3,0,1131,1,2,0.22,2.88
O50,Standard,Ecom Express,Delhi,Chennai,5,5,0,1301,1,2,0.26,1.63
O51,Standard,BlueDart,Mumbai,Jaipur,3,3,0,558,0,2,0.28,2.56
O52,Standard,Delhivery,Delhi,Kolkata,5,5,0,25,0,3,0.23,1.61
O53,Standard,BlueDart,Delhi,Jaipur,5,6,1,1134,1,2,0.35,2.36
O54,Express,Delhivery,Delhi,Kolkata,2,4,2,1218,1,2,0.29,1.53
O55,Standard,BlueDart,Chennai,Bangalore,6,7,1,1452,1,2,0.28,2.44
O56,Express,Ecom Express,Hyderabad,Hyderabad,2,2,0,837,1,1,0.09,1.11
O57,Express,BlueDart,Lucknow,Hyderabad,1,2,1,1975,1,3,0.32,2.35
O58,Standard,Ecom Express,Kolkata,Jaipur,3,3,0,1267,1,1,0.3,2.32
O59,Standard,Delhivery,Mumbai,Bangalore,6,7,1,1980,1,2,0.36,2.03
O60,Standard,BlueDart,Chennai,Hyderabad,4,4,0,769,0,2,0.12,1.43
O61,Same-Day,Ecom Express,Lucknow,Jaipur,0,2,2,1920,1,2,0.22,1.21
O62,Standard,BlueDart,Mumbai,Jaipur,3,5,2,887,1,2,0.15,2.54
O63,Standard,Delhivery,Lucknow,Chennai,5,6,1,617,0,3,0.36,1.32
O64,Standard,Delhivery,Jaipur,Bangalore,5,6,1,1814,1,2,0.34,2.8
O65,Standard,BlueDart,Jaipur,Kolkata,5,5,0,248,0,3,0.23,2.48
O66,Standard,Delhivery,Kolkata,Lucknow,3,3,0,263,0,2,0.29,2.47
O67,Standard,Delhivery,Hyderabad,Chennai,6,6,0,174,0,2,0.24,2.73
O68,Express,Ecom Express,Delhi,Jaipur,1,1,0,975,1,1,0.3,2.18
O69,Standard,Delhivery,Mumbai,Chennai,4,8,4,826,1,1,0.25,2.05
O70,Standard,BlueDart,Mumbai,Bangalore,4,7,3,693,0,2,0.24,2.89
O71,Express,BlueDart,Chennai,Bangalore,1,4,3,377,0,3,0.18,1.37
O72,Standard,BlueDart,Kolkata,Hyderabad,3,3,0,203,0,3,0.25,2.49
O73,Same-Day,Delhivery,Mumbai,Hyderabad,0,0,0,1336,1,1,0.2,2.82
O74,Standard,Ecom Express,Lucknow,Hyderabad,6,8,2,1900,1,1,0.28,1.31
O75,Standard,Delhivery,Lucknow,Lucknow,5,6,1,1837,1,2,0.28,2.9
O76,Standard,BlueDart,Mumbai,Kolkata,4,11,7,598,0,1,0.26,2.02
O77,Express,Ecom Express,Chennai,Jaipur,1,8,7,381,0,2,0.36,1.59
O78,Express,BlueDart,Bangalore,Chennai,1,1,0,1097,1,3,0.3,2.98
O79,Standard,Ecom Express,Chennai,Hyderabad,5,6,1,669,0,2,0.4,2.25
O80,Standard,Delhivery,Jaipur,Bangalore,4,4,0,529,0,3,0.11,2.25
O81,Same-Day,BlueDart,Hyderabad,Mumbai,0,0,0,669,0,3,0.23,1.74
O82,Express,Ecom Express,Chennai,Jaipur,1,3,2,1675,1,1,0.23,2.77
O83,Express,Delhivery,Delhi,Mumbai,1,1,0,152,0,3,0.24,1.02
O84,Standard,Delhivery,Mumbai,Kolkata,3,6,3,1697,1,3,0.33,1.68
O85,Standard,Ecom Express,Mumbai,Mumbai,4,4,0,634,0,1,0.26,1.21
O86,Express,Ecom Express,Chennai,Kolkata,1,2,1,7,0,1,0.38,2.37
O87,Standard,Delhivery,Kolkata,Delhi,4,4,0,213,0,1,0.27,2.21
O88,Standard,BlueDart,Kolkata,Lucknow,4,4,0,1396,1,1,0.12,2.0
O89,Express,Delhivery,Jaipur,Hyderabad,1,1,0,1769,1,2,0.23,2.57
O90,Express,Delhivery,Jaipur,Chennai,3,3,0,880,1,2,0.13,1.85
O91,Standard,Ecom Express,Lucknow,Lucknow,5,5,0,288,0,3,0.18,2.06
O92,Standard,BlueDart,Lucknow,Delhi,4,5,1,1444,1,1,0.38,1.12
O93,Standard,Delhivery,Hyderabad,Lucknow,5,6,1,947,1,1,0.16,1.28
O94,Standard,Ecom Express,Mumbai,Chennai,3,4,1,1430,1,2,0.36,2.74
O95,Standard,BlueDart,Delhi,Lucknow,3,3,0,506,0,3,0.18,2.9
O96,Standard,Delhivery,Delhi,Lucknow,3,3,0,592,0,1,0.15,1.85
O97,Standard,Ecom Express,Jaipur,Delhi,5,5,0,1457,1,1,0.24,1.8
O98,Standard,BlueDart,Delhi,Lucknow,3,3,0,1677,1,1,0.25,2.29
O99,Standard,Ecom Express,Mumbai,Kolkata,3,3,0,747,0,1,0.1,1.02
O100,Standard,Delhivery,Bangalore,Bangalore,4,5,1,556,0,2,0.17,1.62
O101,Standard,Ecom Express,Mumbai,Delhi,4,5,1,649,0,2,0.25,2.48
O102,Same-Day,Delhivery,Delhi,Mumbai,0,0,0,1207,1,3,0.17,2.77
O103,Express,Ecom Express,Kolkata,Jaipur,3,3,0,334,0,2,0.25,1.68
O104,Express,Ecom Express,Mumbai,Hyderabad,1,2,1,1829,1,1,0.29,2.99
O105,Express,Delhivery,Lucknow,Mumbai,2,2,0,1125,1,2,0.09,1.59
O106,Express,BlueDart,Lucknow,Kolkata,2,2,0,187,0,3,0.28,2.88
O107,Standard,BlueDart,Kolkata,Lucknow,5,6,1,826,1,2,0.17,1.83
O108,Express,Delhivery,Delhi,Hyderabad,3,3,0,1323,1,1,0.12,1.32
O109,Standard,Ecom Express,Lucknow,Mumbai,6,7,1,1795,1,1,0.17,2.46
O110,Standard,Ecom Express,Lucknow,Lucknow,6,6,0,678,0,1,0.12,1.08
O111,Standard,BlueDart,Jaipur,Kolkata,4,5,1,660,0,2,0.2,1.42
O112,Standard,Delhivery,Chennai,Bangalore,5,6,1,521,0,3,0.26,1.84
O113,Express,Delhivery,Hyderabad,Jaipur,1,2,1,1705,1,2,0.39,1.96
O114,Express,Ecom Express,Hyderabad,Bangalore,3,3,0,899,1,1,0.23,2.16
O115,Express,Delhivery,Jaipur,Jaipur,1,2,1,313,0,2,0.28,1.01
O116,Standard,BlueDart,Delhi,Lucknow,6,6,0,1313,1,3,0.14,1.7
O117,Standard,Ecom Express,Lucknow,Hyderabad,3,3,0,763,0,3,0.3,1.83
O118,Standard,Ecom Express,Delhi,Chennai,5,5,0,237,0,3,0.16,1.57
O119,Standard,Delhivery,Bangalore,Hyderabad,5,5,0,1442,1,3,0.28,1.21
O120,Express,Delhivery,Lucknow,Delhi,3,3,0,1195,1,3,0.15,1.39
O121,Standard,Delhivery,Kolkata,Kolkata,6,6,0,850,1,1,0.18,1.54
O122,Standard,BlueDart,Kolkata,Mumbai,4,6,2,13,0,2,0.19,2.14
O123,Express,BlueDart,Delhi,Delhi,1,1,0,1267,1,3,0.15,2.46
O124,Standard,Ecom Express,Jaipur,Chennai,4,5,1,900,1,3,0.38,2.67
O125,Standard,BlueDart,Bangalore,Lucknow,3,10,7,900,1,3,0.33,2.97
O126,Standard,BlueDart,Bangalore,Jaipur,5,5,0,401,0,2,0.07,1.29
O127,Standard,Delhivery,Mumbai,Chennai,3,3,0,232,0,1,0.17,1.72
O128,Express,BlueDart,Kolkata,Mumbai,2,3,1,155,0,3,0.38,2.62
O129,Standard,Ecom Express,Bangalore,Lucknow,3,3,0,245,0,1,0.18,1.51
O130,Same-Day,Delhivery,Bangalore,Chennai,0,0,0,1065,1,2,0.08,1.17
O131,Express,BlueDart,Lucknow,Hyderabad,2,3,1,991,1,2,0.28,1.8
O132,Standard,Ecom Express,Lucknow,Jaipur,6,6,0,215,0,2,0.27,1.85
O133,Standard,Delhivery,Lucknow,Kolkata,3,3,0,1248,1,1,0.27,2.92
O134,Express,Delhivery,Mumbai,Mumbai,3,4,1,1698,1,1,0.35,1.86
O135,Standard,BlueDart,Bangalore,Lucknow,4,5,1,1350,1,3,0.23,1.93
O136,Express,BlueDart,Mumbai,Mumbai,1,1,0,794,0,3,0.27,1.84
O137,Standard,Delhivery,Kolkata,Kolkata,4,10,6,408,0,3,0.25,2.15
O138,Express,Ecom Express,Bangalore,Kolkata,1,1,0,1872,1,2,0.21,1.14
O139,Express,Ecom Express,Bangalore,Lucknow,2,2,0,1548,1,2,0.12,2.97
O140,Standard,Delhivery,Mumbai,Hyderabad,5,5,0,1925,1,2,0.27,2.45
O141,Express,Ecom Express,Bangalore,Bangalore,3,4,1,1852,1,2,0.37,1.09
O142,Standard,Delhivery,Delhi,Chennai,5,6,1,679,0,3,0.27,1.25
O143,Standard,BlueDart,Chennai,Mumbai,6,6,0,1373,1,2,0.24,1.97
O144,Standard,Delhivery,Mumbai,Chennai,3,4,1,727,0,1,0.39,1.12
O145,Express,Ecom Express,Kolkata,Lucknow,2,2,0,389,0,2,0.23,2.31
O146,Express,Delhivery,Jaipur,Hyderabad,1,1,0,1882,1,1,0.07,1.85
O147,Express,BlueDart,Bangalore,Chennai,1,2,1,949,1,2,0.32,1.91
O148,Standard,Delhivery,Lucknow,Chennai,5,5,0,888,1,2,0.14,1.1
O149,Standard,BlueDart,Jaipur,Chennai,4,4,0,607,0,1,0.22,2.29
O150,Standard,Ecom Express,Jaipur,Jaipur,3,4,1,1183,1,2,0.25,1.44
O151,Standard,Ecom Express,Bangalore,Lucknow,4,4,0,1614,1,1,0.1,2.82
O152,Standard,Delhivery,Lucknow,Chennai,4,5,1,353,0,2,0.23,1.36
