order_id,customer_id,product_id,order_date,order_day_of_week,order_hour,quantity,product_price,discount_amount,discount_percentage,final_price,payment_method,is_cod
O1,C97,P4,2025-01-06,Monday,17,1,24990,2499.0,10,22491.0,COD,1
O2,C642,P6,2025-05-23,Friday,5,2,3199,767.76,12,5630.24,Card,0
O3,C475,P5,2025-04-21,Monday,12,1,3499,1399.6,40,2099.4,COD,1
O4,C842,P1,2025-04-14,Monday,10,1,11999,2279.81,19,9719.19,COD,1
O5,C947,P3,2025-12-07,Sunday,20,1,39999,3999.9,10,35999.1,UPI,0
O6,C982,P6,2025-04-29,Tuesday,8,1,3199,639.8,20,2559.2,COD,1
O7,C174,P5,2025-11-03,Monday,22,1,3499,0.0,0,3499.0,Card,0
O8,C108,P2,2025-12-19,Friday,18,1,1799,539.7,30,1259.3,UPI,0
O9,C2,P6,2025-06-08,Sunday,6,1,3199,959.7,30,2239.3,COD,1
O10,C39,P5,2025-11-03,Monday,16,1,3499,1119.68,32,2379.32,UPI,0
O11,C824,P5,2025-06-25,Wednesday,12,1,3499,0.0,0,3499.0,UPI,0
O12,C995,P1,2025-09-09,Tuesday,5,3,11999,3599.7,10,32397.3,COD,1
O13,C816,P4,2025-08-28,Thursday,14,1,24990,2499.0,10,22491.0,Card,0
O14,C564,P6,2025-07-04,Friday,4,1,3199,319.9,10,2879.1,UPI,0
O15,C410,P4,2025-06-03,Tuesday,17,1,24990,2748.9,11,22241.1,COD,1
O16,C94,P6,2025-04-11,Friday,12,1,3199,319.9,10,2879.1,COD,1
O17,C830,P6,2025-11-25,Tuesday,8,2,3199,0.0,0,6398.0,UPI,0
O18,C146,P6,2025-12-23,Tuesday,11,1,3199,959.7,30,2239.3,UPI,0
O19,C408,P2,2025-11-06,Thursday,0,1,1799,179.9,10,1619.1,UPI,0
O20,C203,P5,2025-12-28,Sunday,8,1,3499,69.98,2,3429.02,COD,1
O21,C559,P5,2025-07-15,Tuesday,4,1,3499,979.72,28,2519.28,Card,0
O22,C889,P2,2025-03-28,Friday,9,1,1799,17.99,1,1781.01,UPI,0
O23,C835,P5,2025-03-10,Monday,23,3,3499,1049.7,10,9447.3,Card,0
O24,C210,P6,2025-08-14,Thursday,8,1,3199,1279.6,40,1919.4,Card,0
O25,C151,P6,2025-01-05,Sunday,12,1,3199,0.0,0,3199.0,COD,1
O26,C106,P2,2025-06-22,Sunday,1,2,1799,719.6,20,2878.4,UPI,0
O27,C285,P4,2025-03-13,Thursday,19,1,24990,0.0,0,24990.0,UPI,0
O28,C439,P2,2025-11-23,Sunday,21,1,1799,377.79,21,1421.21,UPI,0
O29,C100,P1,2025-06-28,Saturday,18,1,11999,3599.7,30,8399.3,COD,1
O30,C670,P6,2025-08-28,Thursday,21,3,3199,2879.1,30,6717.9,COD,1
O31,C619,P1,2025-03-24,Monday,21,1,11999,2639.78,22,9359.22,UPI,0
O32,C300,P5,2025-12-21,Sunday,23,1,3499,349.9,10,3149.1,UPI,0
O33,C989,P1,2025-02-14,Friday,10,1,11999,2399.8,20,9599.2,UPI,0
O34,C230,P1,2025-07-18,Friday,19,1,11999,2159.82,18,9839.18,UPI,0
O35,C990,P1,2025-08-24,Sunday,23,1,11999,2399.8,20,9599.2,UPI,0
O36,C268,P1,2025-12-19,Friday,10,1,11999,3599.7,30,8399.3,COD,1
O37,C294,P2,2025-01-27,Monday,5,1,1799,161.91,9,1637.09,COD,1
O38,C982,P2,2025-06-28,Saturday,22,1,1799,521.71,29,1277.29,UPI,0
O39,C248,P1,2025-10-25,Saturday,22,1,11999,0.0,0,11999.0,COD,1
O40,C894,P4,2025-04-11,Friday,4,1,24990,0.0,0,24990.0,COD,1
O41,C241,P6,2025-07-02,Wednesday,4,1,3199,383.88,12,2815.12,Card,0
O42,C308,P1,2025-09-08,Monday,21,1,11999,1199.9,10,10799.1,COD,1
O43,C974,P1,2025-08-16,Saturday,7,1,11999,0.0,0,11999.0,UPI,0
O44,C593,P6,2025-10-31,Friday,5,1,3199,959.7,30,2239.3,Card,0
O45,C473,P5,2025-09-08,Monday,22,1,3499,0.0,0,3499.0,UPI,0
O46,C898,P3,2025-01-21,Tuesday,2,1,39999,3999.9,10,35999.1,COD,1
O47,C309,P4,2025-12-03,Wednesday,17,1,24990,4998.0,20,19992.0,Card,0
O48,C29,P3,2025-06-30,Monday,4,1,39999,15199.62,38,24799.38,UPI,0
O49,C556,P1,2025-05-23,Friday,12,2,11999,7199.4,30,16798.6,UPI,0
O50,C429,P2,2025-03-15,Saturday,21,1,1799,0.0,0,1799.0,Card,0
O51,C89,P4,2025-08-11,Monday,2,1,24990,2499.0,10,22491.0,COD,1
O52,C211,P2,2025-03-16,Sunday,3,1,1799,197.89,11,1601.11,UPI,0
O53,C857,P6,2025-09-08,Monday,10,1,3199,639.8,20,2559.2,COD,1
O54,C791,P6,2025-09-30,Tuesday,21,1,3199,991.69,31,2207.31,Card,0
O55,C963,P2,2025-12-29,Monday,16,1,1799,755.58,42,1043.42,UPI,0
O56,C189,P4,2025-06-06,Friday,2,2,24990,0.0,0,49980.0,COD,1
O57,C584,P1,2025-05-27,Tuesday,4,1,11999,3599.7,30,8399.3,UPI,0
O58,C593,P6,2025-09-30,Tuesday,22,1,3199,959.7,30,2239.3,COD,1
O59,C183,P3,2025-12-17,Wednesday,7,3,39999,50398.74,42,69598.26,Card,0
O60,C558,P1,2025-01-27,Monday,3,1,11999,3599.7,30,8399.3,COD,1
O61,C469,P4,2025-07-21,Monday,0,1,24990,4998.0,20,19992.0,COD,1
O62,C749,P1,2025-04-06,Sunday,4,1,11999,0.0,0,11999.0,UPI,0
O63,C388,P2,2025-05-09,Friday,8,1,1799,539.7,30,1259.3,UPI,0
O64,C706,P1,2025-07-01,Tuesday,1,1,11999,119.99,1,11879.01,UPI,0
O65,C312,P2,2025-03-24,Monday,4,3,1799,1673.07,31,3723.93,COD,1
O66,C981,P2,2025-03-09,Sunday,7,3,1799,0.0,0,5397.0,COD,1
O67,C503,P1,2025-08-11,Monday,16,1,11999,2399.8,20,9599.2,Card,0
O68,C353,P4,2025-12-25,Thursday,16,3,24990,22491.0,30,52479.0,COD,1
O69,C976,P2,2025-11-21,Friday,19,2,1799,0.0,0,3598.0,UPI,0
O70,C520,P4,2025-12-25,Thursday,1,1,24990,2499.0,10,22491.0,UPI,0
O71,C707,P4,2025-12-31,Wednesday,9,2,24990,9996.0,20,39984.0,Card,0
O72,C184,P6,2025-09-09,Tuesday,4,1,3199,639.8,20,2559.2,COD,1
O73,C250,P5,2025-10-29,Wednesday,3,1,3499,734.79,21,2764.21,UPI,0
O74,C642,P1,2025-12-02,Tuesday,9,1,11999,1319.89,11,10679.11,COD,1
O75,C354,P5,2025-03-07,Friday,13,1,3499,699.8,20,2799.2,COD,1
O76,C421,P1,2025-01-12,Sunday,12,2,11999,4799.6,20,19198.4,UPI,0
O77,C742,P6,2025-07-19,Saturday,16,2,3199,1279.6,20,5118.4,COD,1
O78,C925,P5,2025-10-10,Friday,4,1,3499,349.9,10,3149.1,UPI,0
O79,C704,P4,2025-10-01,Wednesday,13,1,24990,4998.0,20,19992.0,COD,1
O80,C287,P5,2025-07-02,Wednesday,18,1,3499,699.8,20,2799.2,Card,0
O81,C58,P5,2025-11-06,Thursday,4,1,3499,979.72,28,2519.28,UPI,0
O82,C323,P1,2025-02-17,Monday,5,1,11999,3599.7,30,8399.3,COD,1
O83,C144,P5,2025-12-18,Thursday,12,1,3499,34.99,1,3464.01,UPI,0
O84,C296,P6,2025-02-21,Friday,0,1,3199,0.0,0,3199.0,COD,1
O85,C844,P3,2025-04-14,Monday,20,1,39999,11999.7,30,27999.3,COD,1
O86,C927,P6,2025-02-22,Saturday,11,1,3199,927.71,29,2271.29,COD,1
O87,C540,P6,2025-09-09,Tuesday,10,1,3199,0.0,0,3199.0,COD,1
O88,C598,P3,2025-04-02,Wednesday,19,1,39999,7999.8,20,31999.2,COD,1
O89,C386,P2,2025-07-08,Tuesday,10,1,1799,17.99,1,1781.01,COD,1
O90,C983,P1,2025-09-02,Tuesday,4,1,11999,239.98,2,11759.02,Card,0
O91,C292,P2,2025-12-22,Monday,13,1,1799,737.59,41,1061.41,UPI,0
O92,C240,P4,2025-04-28,Monday,0,1,24990,7497.0,30,17493.0,UPI,0
O93,C713,P1,2025-06-28,Saturday,13,1,11999,1199.9,10,10799.1,COD,1
O94,C774,P3,2025-12-23,Tuesday,21,1,39999,11599.71,29,28399.29,UPI,0
O95,C196,P2,2025-01-16,Thursday,5,1,1799,179.9,10,1619.1,COD,1
O96,C437,P6,2025-07-30,Wednesday,19,1,3199,895.72,28,2303.28,COD,1
O97,C417,P6,2025-08-21,Thursday,2,1,3199,671.79,21,2527.21,UPI,0
O98,C763,P4,2025-01-29,Wednesday,12,1,24990,2499.0,10,22491.0,COD,1
O99,C839,P2,2025-04-10,Thursday,5,1,1799,0.0,0,1799.0,COD,1
O100,C954,P1,2025-04-07,Monday,15,1,11999,239.98,2,11759.02,Card,0
O101,C79,P6,2025-07-02,Wednesday,22,1,3199,895.72,28,2303.28,UPI,0
O102,C207,P5,2025-02-21,Friday,9,1,3499,349.9,10,3149.1,COD,1
O103,C780,P1,2025-04-29,Tuesday,19,1,11999,1439.88,12,10559.12,Card,0
O104,C514,P5,2025-07-04,Friday,19,3,3499,3044.13,29,7452.87,UPI,0
O105,C737,P6,2025-02-19,Wednesday,15,1,3199,255.92,8,2943.08,Card,0
O106,C193,P3,2025-02-04,Tuesday,15,1,39999,7999.8,20,31999.2,UPI,0
O107,C992,P3,2025-10-19,Sunday,14,1,39999,7999.8,20,31999.2,UPI,0
O108,C352,P4,2025-08-19,Tuesday,17,1,24990,0.0,0,24990.0,UPI,0
O109,C663,P3,2025-07-24,Thursday,20,1,39999,3999.9,10,35999.1,Card,0
O110,C524,P6,2025-07-23,Wednesday,6,1,3199,319.9,10,2879.1,COD,1
O111,C171,P6,2025-03-21,Friday,1,1,3199,287.91,9,2911.09,COD,1
O112,C733,P4,2025-01-12,Sunday,12,1,24990,7746.9,31,17243.1,COD,1
O113,C541,P2,2025-04-20,Sunday,9,1,1799,395.78,22,1403.22,COD,1
O114,C21,P6,2025-10-02,Thursday,0,1,3199,255.92,8,2943.08,COD,1
O115,C112,P3,2025-03-16,Sunday,10,1,39999,7999.8,20,31999.2,COD,1
O116,C330,P2,2025-08-19,Tuesday,6,1,1799,143.92,8,1655.08,UPI,0
O117,C309,P1,2025-04-08,Tuesday,3,1,11999,5039.58,42,6959.42,COD,1
O118,C158,P6,2025-06-30,Monday,17,1,3199,895.72,28,2303.28,COD,1
O119,C3,P4,2025-12-04,Thursday,3,1,24990,7996.8,32,16993.2,COD,1
O120,C705,P1,2025-10-06,Monday,6,1,11999,3599.7,30,8399.3,Card,0
O121,C171,P6,2025-08-29,Friday,12,2,3199,1343.58,21,5054.42,COD,1
O122,C643,P6,2025-12-04,Thursday,4,1,3199,959.7,30,2239.3,Card,0
O123,C827,P6,2025-08-09,Saturday,18,1,3199,959.7,30,2239.3,COD,1
O124,C849,P1,2025-07-26,Saturday,20,2,11999,10079.16,42,13918.84,UPI,0
O125,C594,P1,2025-06-15,Sunday,18,1,11999,0.0,0,11999.0,UPI,0
O126,C804,P3,2025-04-06,Sunday,12,1,39999,3999.9,10,35999.1,COD,1
O127,C36,P1,2025-01-12,Sunday,8,1,11999,4679.61,39,7319.39,COD,1
O128,C14,P5,2025-07-20,Sunday,13,1,3499,0.0,0,3499.0,UPI,0
O129,C527,P2,2025-04-03,Thursday,19,1,1799,179.9,10,1619.1,UPI,0
O130,C870,P2,2025-03-04,Tuesday,3,1,1799,0.0,0,1799.0,UPI,0
O131,C374,P3,2025-12-21,Sunday,9,1,39999,8399.79,21,31599.21,Card,0
O132,C476,P4,2025-05-09,Friday,6,1,24990,4998.0,20,19992.0,COD,1
O133,C118,P6,2025-05-20,Tuesday,20,1,3199,1215.62,38,1983.38,UPI,0
O134,C325,P5,2025-05-10,Saturday,12,1,3499,664.81,19,2834.19,COD,1
O135,C1,P2,2025-04-06,Sunday,0,1,1799,0.0,0,1799.0,Card,0
O136,C909,P6,2025-06-14,Saturday,17,1,3199,1343.58,42,1855.42,COD,1
O137,C773,P1,2025-08-11,Monday,14,1,11999,2399.8,20,9599.2,UPI,0
O138,C927,P5,2025-01-10,Friday,17,1,3499,1434.59,41,2064.41,Card,0
O139,C734,P3,2025-08-01,Friday,15,1,39999,7199.82,18,32799.18,UPI,0
O140,C137,P1,2025-09-10,Wednesday,0,1,11999,0.0,0,11999.0,COD,1
O141,C595,P5,2025-04-26,Saturday,0,2,3499,699.8,10,6298.2,COD,1
O142,C635,P2,2025-01-25,Saturday,22,1,1799,0.0,0,1799.0,COD,1
O143,C144,P4,2025-03-17,Monday,21,1,24990,7247.1,29,17742.9,Card,0
O144,C383,P5,2025-02-17,Monday,23,1,3499,699.8,20,2799.2,COD,1
O145,C1,P3,2025-01-07,Tuesday,16,2,39999,23199.42,29,56798.58,UPI,0
O146,C317,P6,2025-09-16,Tuesday,16,1,3199,319.9,10,2879.1,UPI,0
O147,C843,P5,2025-12-18,Thursday,5,2,3499,0.0,0,6998.0,Card,0
O148,C925,P2,2025-03-02,Sunday,10,1,1799,0.0,0,1799.0,Card,0
O149,C265,P3,2025-07-15,Tuesday,19,1,39999,12799.68,32,27199.32,UPI,0
O150,C718,P1,2025-02-26,Wednesday,7,1,11999,0.0,0,11999.0,UPI,0
O151,C108,P4,2025-12-21,Sunday,9,2,24990,4998.0,10,44982.0,COD,1
O152,C703,P5,2025-11-15,Saturday,4,1,3499,699.8,20,2799.2,COD,1
O153,C869,P1,2025-02-09,Sunday,3,1,11999,0.0,0,11999.0,COD,1
O154,C384,P5,2025-09-26,Friday,23,1,3499,419.88,12,3079.12,UPI,0
O155,C952,P5,2025-01-07,Tuesday,3,1,3499,734.79,21,2764.21,UPI,0
O156,C753,P5,2025-07-02,Wednesday,20,1,3499,349.9,10,3149.1,Card,0
O157,C752,P3,2025-09-27,Saturday,6,1,39999,7999.8,20,31999.2,COD,1
O158,C240,P2,2025-10-18,Saturday,14,1,1799,341.81,19,1457.19,COD,1
O159,C771,P3,2025-12-07,Sunday,18,1,39999,11999.7,30,27999.3,Card,0
O160,C354,P4,2025-01-26,Sunday,4,1,24990,4998.0,20,19992.0,UPI,0
O161,C866,P6,2025-10-27,Monday,20,1,3199,639.8,20,2559.2,UPI,0
O162,C178,P2,2025-05-14,Wednesday,18,1,1799,683.62,38,1115.38,UPI,0
O163,C660,P3,2025-06-04,Wednesday,3,1,39999,7999.8,20,31999.2,UPI,0
O164,C159,P5,2025-12-31,Wednesday,17,2,3499,1399.6,20,5598.4,COD,1
O165,C734,P4,2025-06-04,Wednesday,1,2,24990,20491.8,41,29488.2,COD,1
O166,C837,P3,2025-09-23,Tuesday,19,1,39999,0.0,0,39999.0,UPI,0
O167,C174,P2,2025-02-01,Saturday,4,1,1799,0.0,0,1799.0,UPI,0
O168,C371,P4,2025-01-04,Saturday,16,1,24990,9496.2,38,15493.8,UPI,0
O169,C105,P4,2025-09-16,Tuesday,17,1,24990,0.0,0,24990.0,UPI,0
O170,C400,P4,2025-11-22,Saturday,15,1,24990,2499.0,10,22491.0,Card,0
O171,C285,P5,2025-07-08,Tuesday,4,1,3499,1084.69,31,2414.31,UPI,0
O172,C438,P5,2025-10-25,Saturday,23,1,3499,1049.7,30,2449.3,COD,1
O173,C394,P4,2025-09-15,Monday,10,1,24990,7497.0,30,17493.0,UPI,0
O174,C145,P1,2025-07-21,Monday,21,1,11999,3599.7,30,8399.3,COD,1
O175,C177,P6,2025-06-28,Saturday,10,1,3199,927.71,29,2271.29,UPI,0
O176,C192,P1,2025-08-04,Monday,11,1,11999,239.98,2,11759.02,UPI,0
O177,C863,P6,2025-07-13,Sunday,23,1,3199,319.9,10,2879.1,COD,1
O178,C495,P5,2025-10-26,Sunday,13,1,3499,0.0,0,3499.0,UPI,0
O179,C227,P5,2025-11-25,Tuesday,2,1,3499,384.89,11,3114.11,COD,1
O180,C726,P5,2025-03-07,Friday,0,1,3499,664.81,19,2834.19,COD,1
O181,C871,P1,2025-03-22,Saturday,9,1,11999,239.98,2,11759.02,COD,1
O182,C973,P2,2025-08-30,Saturday,4,1,1799,323.82,18,1475.18,UPI,0
O183,C830,P3,2025-02-07,Friday,19,2,39999,33599.16,42,46398.84,COD,1
O184,C439,P1,2025-01-19,Sunday,7,2,11999,2399.8,10,21598.2,UPI,0
O185,C133,P3,2025-10-01,Wednesday,12,1,39999,11999.7,30,27999.3,UPI,0
O186,C332,P5,2025-08-13,Wednesday,2,2,3499,1399.6,20,5598.4,COD,1
O187,C867,P5,2025-10-02,Thursday,1,2,3499,0.0,0,6998.0,COD,1
O188,C787,P3,2025-03-08,Saturday,22,1,39999,12399.69,31,27599.31,UPI,0
O189,C808,P5,2025-10-10,Friday,11,3,3499,1049.7,10,9447.3,Card,0
O190,C239,P4,2025-04-29,Tuesday,7,1,24990,2499.0,10,22491.0,UPI,0
O191,C479,P2,2025-01-11,Saturday,8,1,1799,0.0,0,1799.0,UPI,0
O192,C87,P1,2025-01-23,Thursday,11,1,11999,3599.7,30,8399.3,COD,1
O193,C909,P1,2025-06-24,Tuesday,1,1,11999,4799.6,40,7199.4,UPI,0
O194,C945,P2,2025-10-01,Wednesday,0,1,1799,359.8,20,1439.2,Card,0
O195,C969,P3,2025-06-22,Sunday,19,3,39999,0.0,0,119997.0,UPI,0
O196,C100,P2,2025-05-16,Friday,20,1,1799,539.7,30,1259.3,COD,1
O197,C976,P6,2025-11-09,Sunday,15,1,3199,31.99,1,3167.01,Card,0
O198,C238,P5,2025-12-02,Tuesday,1,1,3499,0.0,0,3499.0,COD,1
O199,C437,P2,2025-05-12,Monday,3,1,1799,359.8,20,1439.2,Card,0
O200,C140,P6,2025-12-15,Monday,15,1,3199,959.7,30,2239.3,UPI,0
O201,C965,P6,2025-10-30,Thursday,22,1,3199,319.9,10,2879.1,UPI,0
O202,C547,P3,2025-03-18,Tuesday,18,1,39999,0.0,0,39999.0,COD,1
O203,C124,P4,2025-09-28,Sunday,18,1,24990,10495.8,42,14494.2,COD,1
O204,C217,P4,2025-07-05,Saturday,11,1,24990,4998.0,20,19992.0,COD,1
O205,C564,P1,2025-11-06,Thursday,7,1,11999,3599.7,30,8399.3,Card,0
O206,C717,P4,2025-06-10,Tuesday,6,1,24990,7497.0,30,17493.0,UPI,0
O207,C747,P2,2025-12-31,Wednesday,16,2,1799,0.0,0,3598.0,UPI,0
O208,C647,P6,2025-12-31,Wednesday,23,1,3199,639.8,20,2559.2,COD,1
O209,C99,P2,2025-05-29,Thursday,2,1,1799,161.91,9,1637.09,UPI,0
O210,C674,P3,2025-08-21,Thursday,9,1,39999,11999.7,30,27999.3,Card,0
O211,C129,P5,2025-09-18,Thursday,23,1,3499,1014.71,29,2484.29,COD,1
O212,C1000,P1,2025-06-10,Tuesday,5,1,11999,2399.8,20,9599.2,Card,0
O213,C697,P2,2025-12-08,Monday,17,1,1799,0.0,0,1799.0,COD,1
O214,C316,P6,2025-04-15,Tuesday,14,1,3199,959.7,30,2239.3,UPI,0
O215,C852,P4,2025-12-09,Tuesday,10,1,24990,4998.0,20,19992.0,Card,0
O216,C259,P6,2025-12-28,Sunday,17,1,3199,0.0,0,3199.0,Card,0
O217,C140,P3,2025-10-28,Tuesday,9,1,39999,3999.9,10,35999.1,Card,0
O218,C49,P2,2025-01-02,Thursday,19,1,1799,539.7,30,1259.3,UPI,0
O219,C449,P4,2025-06-03,Tuesday,17,1,24990,4748.1,19,20241.9,Card,0
O220,C769,P5,2025-05-28,Wednesday,21,2,3499,2099.4,30,4898.6,UPI,0
O221,C480,P4,2025-09-08,Monday,13,1,24990,2249.1,9,22740.9,COD,1
O222,C497,P5,2025-08-15,Friday,1,1,3499,699.8,20,2799.2,Card,0
O223,C637,P5,2025-10-02,Thursday,2,3,3499,0.0,0,10497.0,UPI,0
O224,C424,P2,2025-09-23,Tuesday,5,1,1799,179.9,10,1619.1,Card,0
O225,C49,P6,2025-01-07,Tuesday,0,1,3199,0.0,0,3199.0,UPI,0
O226,C434,P6,2025-12-02,Tuesday,13,1,3199,639.8,20,2559.2,UPI,0
O227,C846,P5,2025-03-19,Wednesday,9,1,3499,1049.7,30,2449.3,COD,1
O228,C834,P5,2025-08-30,Saturday,16,2,3499,2099.4,30,4898.6,COD,1
O229,C155,P3,2025-10-07,Tuesday,15,1,39999,12799.68,32,27199.32,Card,0
O230,C372,P1,2025-02-18,Tuesday,16,1,11999,959.92,8,11039.08,Card,0
O231,C253,P4,2025-06-22,Sunday,6,1,24990,0.0,0,24990.0,COD,1
O232,C943,P6,2025-06-14,Saturday,0,1,3199,959.7,30,2239.3,UPI,0
O233,C424,P2,2025-02-28,Friday,17,2,1799,1079.4,30,2518.6,COD,1
O234,C103,P1,2025-12-13,Saturday,22,1,11999,2399.8,20,9599.2,UPI,0
O235,C444,P1,2025-03-26,Wednesday,9,1,11999,3719.69,31,8279.31,COD,1
O236,C605,P1,2025-02-18,Tuesday,20,1,11999,3599.7,30,8399.3,Card,0
O237,C399,P2,2025-08-07,Thursday,20,1,1799,377.79,21,1421.21,UPI,0
O238,C672,P5,2025-04-21,Monday,10,1,3499,699.8,20,2799.2,COD,1
O239,C999,P4,2025-04-18,Friday,15,1,24990,2499.0,10,22491.0,UPI,0
O240,C78,P4,2025-09-19,Friday,22,1,24990,7746.9,31,17243.1,COD,1
O241,C72,P6,2025-11-06,Thursday,22,1,3199,351.89,11,2847.11,Card,0
O242,C933,P5,2025-04-02,Wednesday,17,1,3499,699.8,20,2799.2,COD,1
O243,C384,P1,2025-01-06,Monday,8,1,11999,2399.8,20,9599.2,COD,1
O244,C176,P6,2025-11-25,Tuesday,22,1,3199,0.0,0,3199.0,COD,1
O245,C673,P1,2025-11-28,Friday,4,1,11999,0.0,0,11999.0,UPI,0
O246,C62,P4,2025-02-01,Saturday,10,2,24990,9996.0,20,39984.0,UPI,0
O247,C331,P4,2025-01-08,Wednesday,16,1,24990,7247.1,29,17742.9,COD,1
O248,C783,P5,2025-11-08,Saturday,17,1,3499,1049.7,30,2449.3,UPI,0
O249,C691,P1,2025-10-17,Friday,18,1,11999,239.98,2,11759.02,UPI,0
O250,C813,P3,2025-07-11,Friday,23,1,39999,3999.9,10,35999.1,UPI,0
O251,C729,P2,2025-04-02,Wednesday,9,1,1799,359.8,20,1439.2,UPI,0
O252,C626,P2,2025-07-06,Sunday,4,1,1799,539.7,30,1259.3,COD,1
O253,C982,P6,2025-04-17,Thursday,1,1,3199,639.8,20,2559.2,COD,1
O254,C705,P3,2025-07-10,Thursday,0,2,39999,32799.18,41,47198.82,UPI,0
O255,C671,P1,2025-02-21,Friday,19,3,11999,7199.4,20,28797.6,COD,1
O256,C235,P2,2025-07-11,Friday,13,1,1799,503.72,28,1295.28,COD,1
O257,C162,P1,2025-11-02,Sunday,10,1,11999,4919.59,41,7079.41,COD,1
O258,C171,P6,2025-06-27,Friday,2,1,3199,319.9,10,2879.1,Card,0
O259,C462,P5,2025-12-17,Wednesday,12,1,3499,664.81,19,2834.19,COD,1
O260,C405,P3,2025-12-28,Sunday,10,1,39999,0.0,0,39999.0,COD,1
O261,C912,P5,2025-09-08,Monday,10,3,3499,4303.77,41,6193.23,COD,1
O262,C313,P5,2025-11-27,Thursday,13,1,3499,1049.7,30,2449.3,UPI,0
O263,C10,P3,2025-05-14,Wednesday,2,1,39999,12399.69,31,27599.31,COD,1
O264,C686,P5,2025-01-07,Tuesday,12,1,3499,349.9,10,3149.1,UPI,0
O265,C623,P2,2025-03-01,Saturday,3,1,1799,575.68,32,1223.32,UPI,0
O266,C403,P2,2025-03-18,Tuesday,1,1,1799,359.8,20,1439.2,COD,1
O267,C620,P1,2025-07-07,Monday,17,1,11999,2399.8,20,9599.2,UPI,0
O268,C691,P4,2025-06-16,Monday,7,3,24990,0.0,0,74970.0,UPI,0
O269,C886,P1,2025-11-21,Friday,23,2,11999,4799.6,20,19198.4,UPI,0
O270,C862,P2,2025-03-17,Monday,9,1,1799,0.0,0,1799.0,COD,1
O271,C591,P1,2025-08-10,Sunday,22,1,11999,1439.88,12,10559.12,UPI,0
O272,C326,P5,2025-08-12,Tuesday,21,1,3499,349.9,10,3149.1,UPI,0
O273,C460,P3,2025-08-01,Friday,7,1,39999,7999.8,20,31999.2,COD,1
O274,C667,P6,2025-05-28,Wednesday,15,1,3199,1215.62,38,1983.38,COD,1
O275,C299,P1,2025-08-16,Saturday,1,3,11999,10799.1,30,25197.9,COD,1
