order_id,customer_id,product_id,order_date,delivery_delay,discount_pct,is_holiday_season,return_probability,is_returned,persona,base_return_rate,customer_tenure_days,avg_order_value,price,rating,category
ORD1,C81,P8,2023-06-10,0,0,0,0.37813798750379635,0,Impulse Buyer,0.23389854933721851,95,1916,191,2.108531332137048,Apparel
ORD2,C479,P30,2023-05-02,0,30,0,0.14768394039938007,0,Bargain Hunter,0.26543704734234963,229,495,396,4.061663079654576,Home
ORD3,C394,P19,2023-11-07,0,0,1,0.27674644614037575,0,Impulse Buyer,0.2131252289148026,32,2226,474,3.749824351318881,Beauty
ORD4,C267,P12,2023-10-30,2,0,0,0.222625426768733,0,Impulse Buyer,0.28290091684072555,75,1725,1756,4.67972260573344,Electronics
ORD5,C188,P33,2023-05-28,0,20,0,0.2726476842615009,0,Bargain Hunter,0.3460065150570954,214,102,1055,4.600713015644724,Electronics
ORD6,C242,P20,2023-03-20,0,50,0,0.21311620923621347,0,Bargain Hunter,0.3299149146549137,318,499,152,3.822344635799018,Beauty
ORD7,C255,P30,2023-05-03,0,0,0,0.0,0,Loyal,0.030461588472698836,1179,222,396,4.061663079654576,Home
ORD8,C210,P44,2023-07-12,5,20,0,0.11514031887291405,0,Bargain Hunter,0.24968843978581146,237,160,288,4.059042282133031,Beauty
ORD9,C281,P32,2023-07-01,0,0,0,0.0,0,Loyal,0.06036762981773962,1289,1030,278,4.226683707271579,Home
ORD10,C472,P27,2023-03-13,1,5,0,0.0,0,Loyal,0.028166810691065358,1396,574,87,3.8108470428218526,Footwear
ORD11,C459,P38,2023-07-02,0,50,0,0.5875546181951459,1,Bargain Hunter,0.19974285451752596,10,220,135,2.150355856501963,Apparel
ORD12,C22,P18,2023-06-01,0,0,0,0.0,0,Loyal,0.09687297765377242,744,387,127,4.156992693858071,Apparel
ORD13,C211,P32,2023-01-29,2,0,0,0.2740102125076332,0,Impulse Buyer,0.3473644950789826,8,722,278,4.226683707271579,Home
ORD14,C462,P4,2023-08-03,0,70,0,0.4013229895237491,0,Bargain Hunter,0.30635806596900583,53,169,96,3.0338727538133785,Apparel
ORD15,C304,P2,2023-12-12,0,0,1,0.45598129593088177,0,Impulse Buyer,0.3366367712890963,18,2985,155,2.778269247890009,Footwear
ORD16,C406,P47,2023-07-10,2,50,0,0.10301617044362922,0,Bargain Hunter,0.1682328980812383,88,57,93,4.3730199632038635,Beauty
ORD17,C53,P9,2023-02-03,0,10,0,0.2854513771036395,0,Impulse Buyer,0.3632863746438768,97,2291,2706,4.902806684413314,Electronics
ORD18,C361,P33,2023-06-30,2,10,0,0.15031804619118286,0,Impulse Buyer,0.2792484037805318,82,2837,1055,4.600713015644724,Electronics
ORD19,C268,P33,2023-06-21,2,0,0,0.0,0,Loyal,0.041171139492936513,839,1433,1055,4.600713015644724,Electronics
ORD20,C444,P42,2023-07-29,0,0,0,0.0,0,Loyal,0.07527318943736229,942,1735,74,3.890408322238115,Apparel
ORD21,C92,P23,2023-02-07,0,10,0,0.0,0,Loyal,0.06317499345121097,669,1565,1443,3.2728795051134663,Electronics
ORD22,C12,P5,2023-12-22,0,0,1,0.0,0,Loyal,0.0827557613304815,929,976,282,3.7027946349124568,Apparel
ORD23,C176,P46,2023-01-09,1,5,0,0.0,0,Loyal,0.042234644622955654,518,1295,330,4.67884661212699,Home
ORD24,C171,P9,2023-11-26,0,0,1,0.0,0,Loyal,0.07225429574520209,1135,908,2706,4.902806684413314,Electronics
ORD25,C214,P2,2023-08-30,0,50,0,0.17053658333946078,0,Bargain Hunter,0.21606969625618277,298,426,155,2.778269247890009,Footwear
ORD26,C92,P5,2023-01-14,0,0,0,0.0,0,Loyal,0.06317499345121097,669,1565,282,3.7027946349124568,Apparel
ORD27,C225,P40,2023-03-14,0,20,0,0.12697736767204776,0,Bargain Hunter,0.2559680046362233,99,50,486,4.4660068471489325,Beauty
ORD28,C484,P44,2023-08-28,0,70,0,0.08112448211431503,0,Bargain Hunter,0.2134391433530797,340,414,288,4.059042282133031,Beauty
ORD29,C364,P44,2023-05-25,0,70,0,0.21823200978457194,0,Bargain Hunter,0.32898428824556797,107,406,288,4.059042282133031,Beauty
ORD30,C11,P10,2023-09-14,1,50,0,0.1427249011833514,0,Bargain Hunter,0.24009985039390858,98,323,223,4.330953996772406,Beauty
ORD31,C263,P36,2023-04-20,0,5,0,0.0,0,Loyal,0.026768879154470862,1189,1182,67,3.966202678281477,Beauty
ORD32,C239,P45,2023-08-22,1,20,0,0.1426301320451946,0,Bargain Hunter,0.2865964126834265,304,377,477,4.7978013550940135,Beauty
ORD33,C395,P48,2023-09-20,0,0,0,0.1990449857783584,0,Impulse Buyer,0.2505017499376765,26,2106,555,4.510540840993616,Electronics
ORD34,C21,P22,2023-01-02,0,50,0,0.0941693481046214,0,Bargain Hunter,0.20426980635477918,289,102,450,4.195473602402838,Beauty
